Customer ID,First Name,Last Name,Email
1,John,Smith,john.smith@gmail.com
2,Emily,Johnson,emily.j@yahoo.com
3,Michael,Williams,mike.w@example.com
4,Sarah,Davis,sarah.d@gmail.com
5,David,Brown,david.b@yahoo.com
6,Jessica,Miller,jessica.m@example.com
7,Andrew,Wilson,andrew.w@gmail.com
8,Olivia,Martinez,olivia.m@yahoo.com
9,Ethan,Anderson,ethan.anderson@gmail.com
10,Ava,Thompson,ava.t@example.com
11,Liam,White,liam.white@yahoo.com
12,Mia,Harris,mia.h@gmail.com
13,Noah,Martin,noah.m@example.com
14,Sophia,Jackson,sophia.j@yahoo.com
15,James,Lee,james.lee@gmail.com
16,Isabella,Garcia,isabella.g@yahoo.com
17,Benjamin,Clark,benjamin.clark@gmail.com
18,Amelia,Walker,amelia.w@example.com
19,Oliver,Rodriguez,oliver.r@yahoo.com
20,Emma,Hall,emma.h@gmail.com
